Date,Price,Adj Close,Close,High,Low,Open,Volume
2025-08-13 13:15:55,3.2623,3.2623,3.2623,3.2663,3.2488,3.2521,91176.0
2025-08-13 13:20:55,3.2708,3.2708,3.2708,3.278,3.2626,3.2626,886559.0
2025-08-13 13:25:55,3.2714,3.2714,3.2714,3.2766,3.2674,3.2702,101567.0
2025-08-13 13:30:55,3.2756,3.2756,3.2756,3.2802,3.2708,3.2719,213532.0
2025-08-13 13:35:55,3.2794,3.2794,3.2794,3.2794,3.2725,3.2744,570997.0
2025-08-13 13:40:55,3.2855,3.2855,3.2855,3.2881,3.2794,3.2794,540030.0
2025-08-13 13:45:55,3.28,3.28,3.28,3.2897,3.2765,3.2855,135114.0
2025-08-13 13:50:55,3.2889,3.2889,3.2889,3.2892,3.2792,3.2796,97811.0
2025-08-13 13:55:55,3.2889,3.2889,3.2889,3.289,3.2813,3.289,103385.0
2025-08-13 14:00:55,3.2939,3.2939,3.2939,3.2953,3.2872,3.2883,566917.0
2025-08-13 14:05:55,3.2951,3.2951,3.2951,3.2954,3.29,3.2931,356417.0
2025-08-13 14:10:55,3.2884,3.2884,3.2884,3.2952,3.2858,3.2952,302173.0
2025-08-13 14:15:55,3.2824,3.2824,3.2824,3.2876,3.2795,3.2876,384972.0
2025-08-13 14:20:55,3.2875,3.2875,3.2875,3.2882,3.2808,3.2818,370168.0
2025-08-13 14:25:55,3.2797,3.2797,3.2797,3.2872,3.2735,3.2872,589414.0
2025-08-13 14:30:55,3.2737,3.2737,3.2737,3.2798,3.2706,3.2797,111636.0
2025-08-13 14:35:55,3.2794,3.2794,3.2794,3.2824,3.2693,3.2704,1153252.0
2025-08-13 14:40:55,3.2776,3.2776,3.2776,3.28,3.2758,3.2776,240390.0
2025-08-13 14:45:55,3.2798,3.2798,3.2798,3.283,3.2772,3.2792,327992.0
2025-08-13 14:50:55,3.2889,3.2889,3.2889,3.2894,3.2792,3.2792,244433.0
2025-08-13 14:55:55,3.2913,3.2913,3.2913,3.2932,3.2854,3.2889,213966.0
2025-08-13 15:00:55,3.2835,3.2835,3.2835,3.2931,3.2835,3.2914,188086.0
2025-08-13 15:05:55,3.2821,3.2821,3.2821,3.2869,3.2818,3.2834,404337.0
2025-08-13 15:10:55,3.2805,3.2805,3.2805,3.2872,3.2805,3.2827,311041.0
2025-08-13 15:15:55,3.2851,3.2851,3.2851,3.287,3.2789,3.2802,97043.0
2025-08-13 15:20:55,3.289,3.289,3.289,3.2906,3.2852,3.2854,253082.0
2025-08-13 15:25:55,3.2856,3.2856,3.2856,3.2878,3.2817,3.2878,192460.0
2025-08-13 15:30:55,3.2851,3.2851,3.2851,3.2857,3.283,3.285,17563.0
2025-08-13 15:35:55,3.3013,3.3013,3.3013,3.3015,3.2851,3.2851,191827.0
2025-08-13 15:40:55,3.2984,3.2984,3.2984,3.301,3.2962,3.3008,119368.0
2025-08-13 15:45:55,3.2944,3.2944,3.2944,3.2983,3.2908,3.2983,277353.0
2025-08-13 15:50:55,3.2951,3.2951,3.2951,3.2968,3.294,3.2949,400651.0
2025-08-13 15:55:55,3.2951,3.2951,3.2951,3.2969,3.295,3.2955,750320.0
2025-08-13 16:00:55,3.2952,3.2952,3.2952,3.2964,3.2876,3.295,367500.0
2025-08-13 16:05:55,3.2942,3.2942,3.2942,3.2959,3.2881,3.2957,46415.0
2025-08-13 16:10:55,3.2959,3.2959,3.2959,3.3005,3.2942,3.2942,226331.0
2025-08-13 16:15:55,3.2826,3.2826,3.2826,3.2958,3.2792,3.2958,134005.0
2025-08-13 16:20:55,3.2857,3.2857,3.2857,3.2879,3.2824,3.2838,51512.0
2025-08-13 16:25:55,3.2826,3.2826,3.2826,3.2894,3.2826,3.2857,788744.0
2025-08-13 16:30:55,3.2818,3.2818,3.2818,3.2847,3.2787,3.2826,70567.0
2025-08-13 16:35:55,3.2813,3.2813,3.2813,3.2846,3.2789,3.2806,666953.0
2025-08-13 16:40:55,3.2894,3.2894,3.2894,3.2894,3.2813,3.2813,40220.0
2025-08-13 16:45:55,3.2924,3.2924,3.2924,3.294,3.2875,3.2883,69843.0
2025-08-13 16:50:55,3.2927,3.2927,3.2927,3.2951,3.2909,3.292,72128.0
2025-08-13 16:55:55,3.2873,3.2873,3.2873,3.2927,3.2853,3.2927,343762.0
2025-08-13 17:00:55,3.2911,3.2911,3.2911,3.293,3.2872,3.2872,75025.0
2025-08-13 17:05:55,3.2838,3.2838,3.2838,3.2922,3.2838,3.2902,70812.0
2025-08-13 17:10:55,3.2885,3.2885,3.2885,3.2893,3.2808,3.2838,71792.0
2025-08-13 17:15:55,3.2889,3.2889,3.2889,3.2915,3.2871,3.2884,19352.0
2025-08-13 17:20:55,3.2962,3.2962,3.2962,3.2971,3.2873,3.2886,156686.0
2025-08-13 17:25:55,3.2923,3.2923,3.2923,3.2953,3.2909,3.295,191011.0
2025-08-13 17:30:55,3.2882,3.2882,3.2882,3.2932,3.2825,3.2913,90064.0
2025-08-13 17:35:55,3.2845,3.2845,3.2845,3.2857,3.2798,3.2845,32958.0
2025-08-13 17:40:55,3.2891,3.2891,3.2891,3.2899,3.2842,3.2845,807041.0
2025-08-13 17:45:55,3.2818,3.2818,3.2818,3.2907,3.2804,3.2903,877482.0
2025-08-13 17:50:55,3.2785,3.2785,3.2785,3.2854,3.2732,3.2818,1245175.0
2025-08-13 17:55:55,3.2739,3.2739,3.2739,3.2789,3.2736,3.2778,706871.0
2025-08-13 18:00:55,3.2786,3.2786,3.2786,3.2801,3.2738,3.2741,69103.0
2025-08-13 18:05:55,3.2826,3.2826,3.2826,3.2847,3.2778,3.2786,731269.0
2025-08-13 18:10:55,3.2822,3.2822,3.2822,3.2853,3.2818,3.2822,125536.0
2025-08-13 18:15:55,3.2925,3.2925,3.2925,3.2933,3.2812,3.282,721886.0
2025-08-13 18:20:55,3.3075,3.3075,3.3075,3.3075,3.2911,3.2924,336527.0
