Date,Open,High,Low,Close,Volume,Price,Adj Close
2025-02-28 05:55:23,1.1479,1.1479,1.1388,1.141,9450.4,1.141,1.141
2025-02-28 06:10:23,1.1391,1.1445,1.1391,1.1445,9491.3,1.1445,1.1445
2025-02-28 06:25:23,1.144,1.1441,1.1223,1.1243,51654.0,1.1243,1.1243
2025-02-28 06:40:23,1.1249,1.1249,1.095,1.106,447529.0,1.106,1.106
2025-02-28 06:55:23,1.1072,1.1107,1.0925,1.0995,46937.2,1.0995,1.0995
2025-02-28 07:10:23,1.0991,1.1152,1.0937,1.1091,91449.5,1.1091,1.1091
2025-02-28 07:25:23,1.1088,1.1129,1.1001,1.112,60365.4,1.112,1.112
2025-02-28 07:40:23,1.1128,1.1151,1.09,1.0929,131124.2,1.0929,1.0929
2025-02-28 07:55:23,1.0973,1.1015,1.0855,1.1,45938.4,1.1,1.1
2025-02-28 08:10:23,1.0981,1.1082,1.0949,1.101,66117.7,1.101,1.101
2025-02-28 08:25:23,1.1006,1.103,1.0887,1.0898,24132.3,1.0898,1.0898
2025-02-28 08:40:23,1.0883,1.0904,1.0766,1.0801,49660.1,1.0801,1.0801
2025-02-28 08:55:23,1.0784,1.0784,1.0637,1.0646,7535.2,1.0646,1.0646
2025-02-28 09:10:23,1.0645,1.0658,1.028,1.028,175559.4,1.028,1.028
2025-02-28 09:25:23,1.0285,1.0485,1.0277,1.0401,89286.4,1.0401,1.0401
2025-02-28 09:40:23,1.039,1.047,1.0245,1.047,26000.4,1.047,1.047
2025-02-28 09:55:23,1.0479,1.0524,1.0414,1.0414,102436.1,1.0414,1.0414
2025-02-28 10:10:23,1.0408,1.0431,1.0345,1.0378,21535.4,1.0378,1.0378
2025-02-28 10:25:23,1.0353,1.0429,1.0322,1.0328,47369.5,1.0328,1.0328
2025-02-28 10:40:23,1.0345,1.0449,1.0322,1.0417,42801.1,1.0417,1.0417
2025-02-28 10:55:23,1.0436,1.0436,1.0338,1.0418,21742.0,1.0418,1.0418
2025-02-28 11:10:23,1.0447,1.0473,1.0329,1.0335,20638.8,1.0335,1.0335
2025-02-28 11:25:23,1.0326,1.035,1.0229,1.0292,22125.0,1.0292,1.0292
2025-02-28 11:40:23,1.0311,1.0388,1.0298,1.034,22933.6,1.034,1.034
2025-02-28 11:55:23,1.0328,1.0366,1.0268,1.0363,55928.8,1.0363,1.0363
2025-02-28 12:10:23,1.0384,1.0453,1.0384,1.0408,79250.7,1.0408,1.0408
2025-02-28 12:25:23,1.0404,1.0441,1.0307,1.0323,78765.3,1.0323,1.0323
2025-02-28 12:40:23,1.0326,1.0355,1.0302,1.0318,8606.8,1.0318,1.0318
2025-02-28 12:55:23,1.0307,1.0307,1.024,1.0289,33213.6,1.0289,1.0289
2025-02-28 13:10:23,1.0243,1.0323,1.0177,1.019,34775.6,1.019,1.019
2025-02-28 13:25:23,1.0189,1.0278,1.0149,1.0278,32562.7,1.0278,1.0278
2025-02-28 13:40:23,1.0276,1.0365,1.0276,1.0279,76298.7,1.0279,1.0279
2025-02-28 13:55:23,1.0269,1.0398,1.0254,1.0394,100294.4,1.0394,1.0394
2025-02-28 14:10:23,1.0385,1.043,1.0352,1.0352,89660.2,1.0352,1.0352
2025-02-28 14:25:23,1.032,1.0461,1.032,1.0461,40463.5,1.0461,1.0461
2025-02-28 14:40:23,1.0492,1.0492,1.039,1.0401,38539.6,1.0401,1.0401
2025-02-28 14:55:23,1.0373,1.0398,1.0315,1.0315,66425.0,1.0315,1.0315
2025-02-28 15:10:23,1.0329,1.0362,1.0101,1.0242,178744.0,1.0242,1.0242
2025-02-28 15:25:23,1.0224,1.0267,1.0169,1.0225,30528.8,1.0225,1.0225
2025-02-28 15:40:23,1.0245,1.0245,1.0125,1.0146,31255.4,1.0146,1.0146
2025-02-28 15:55:23,1.0138,1.0174,1.0081,1.0132,28755.0,1.0132,1.0132
2025-02-28 16:10:23,1.014,1.0265,1.0135,1.0208,340755.2,1.0208,1.0208
2025-02-28 16:25:23,1.0232,1.027,1.0218,1.026,49935.5,1.026,1.026
2025-02-28 16:40:23,1.0274,1.0301,1.0232,1.0291,30596.9,1.0291,1.0291
2025-02-28 16:55:23,1.026,1.0262,1.0204,1.0204,19967.3,1.0204,1.0204
2025-02-28 17:10:23,1.0199,1.0272,1.0191,1.0252,35507.5,1.0252,1.0252
