Date,Open,High,Low,Close,Volume,Price,Adj Close
2025-01-30 07:06:37,1.7277,1.7338,1.7219,1.7336,20238.6,1.7336,1.7336
2025-01-30 07:36:37,1.7303,1.738,1.7258,1.7279,18912.0,1.7279,1.7279
2025-01-30 08:06:37,1.7272,1.7401,1.7258,1.7335,116604.8,1.7335,1.7335
2025-01-30 08:36:37,1.7357,1.736,1.7151,1.7178,53115.9,1.7178,1.7178
2025-01-30 09:06:37,1.7182,1.7191,1.7035,1.7071,120301.6,1.7071,1.7071
2025-01-30 09:36:37,1.7072,1.7077,1.6755,1.6793,86483.0,1.6793,1.6793
2025-01-30 10:06:37,1.6766,1.6933,1.6725,1.6855,75995.2,1.6855,1.6855
2025-01-30 10:36:37,1.6846,1.7051,1.6827,1.7046,58919.9,1.7046,1.7046
2025-01-30 11:06:37,1.7024,1.705,1.6793,1.6964,123069.7,1.6964,1.6964
2025-01-30 11:36:37,1.6991,1.725,1.6973,1.7132,67761.2,1.7132,1.7132
2025-01-30 12:06:37,1.7111,1.7197,1.7024,1.7046,146139.6,1.7046,1.7046
2025-01-30 12:36:37,1.7049,1.7095,1.6852,1.6946,100602.4,1.6946,1.6946
2025-01-30 13:06:37,1.6954,1.7162,1.6954,1.706,91573.5,1.706,1.706
2025-01-30 13:36:37,1.7071,1.7347,1.707,1.7322,172537.5,1.7322,1.7322
2025-01-30 14:06:37,1.7317,1.7432,1.7256,1.7289,282629.3,1.7289,1.7289
2025-01-30 14:36:37,1.733,1.7397,1.7099,1.7397,220511.1,1.7397,1.7397
2025-01-30 15:06:37,1.7395,1.7796,1.7391,1.7631,176292.2,1.7631,1.7631
2025-01-30 15:36:37,1.7631,1.7651,1.6934,1.7028,508061.4,1.7028,1.7028
2025-01-30 16:06:37,1.7023,1.8002,1.7017,1.7775,862766.9,1.7775,1.7775
2025-01-30 16:36:37,1.7809,1.828,1.7495,1.8172,440701.6,1.8172,1.8172
2025-01-30 17:06:37,1.8176,1.8283,1.7915,1.7992,407423.1,1.7992,1.7992
2025-01-30 17:36:37,1.7988,1.8058,1.7747,1.7947,187996.1,1.7947,1.7947
2025-01-30 18:06:37,1.7945,1.8053,1.7764,1.7779,86922.2,1.7779,1.7779
2025-01-30 18:36:37,1.778,1.778,1.7503,1.7678,142782.5,1.7678,1.7678
2025-01-30 19:06:37,1.7698,1.7804,1.7476,1.7477,39286.0,1.7477,1.7477
2025-01-30 19:36:37,1.7471,1.7517,1.7319,1.743,51193.6,1.743,1.743
2025-01-30 20:06:37,1.7429,1.7429,1.7183,1.7242,95136.2,1.7242,1.7242
2025-01-30 20:36:37,1.724,1.7387,1.7088,1.713,84128.6,1.713,1.713
2025-01-30 21:06:37,1.7123,1.7427,1.7066,1.7407,130909.2,1.7407,1.7407
2025-01-30 21:36:37,1.7417,1.7769,1.7352,1.7688,504839.9,1.7688,1.7688
