Date,Price,Adj Close,Close,High,Low,Open,Volume
2025-05-18 18:31:09,1.1528,1.1528,1.1528,1.1528,1.13,1.1321,107674.2
2025-05-18 19:01:09,1.1551,1.1551,1.1551,1.1554,1.1424,1.1511,101772.7
2025-05-18 19:31:09,1.1705,1.1705,1.1705,1.1807,1.1559,1.1566,292453.1
2025-05-18 20:01:09,1.1731,1.1731,1.1731,1.1755,1.1641,1.1706,110913.4
2025-05-18 20:31:09,1.1859,1.1859,1.1859,1.1914,1.169,1.172,88938.5
2025-05-18 21:01:09,1.1791,1.1791,1.1791,1.1896,1.1727,1.1866,82292.2
2025-05-18 21:31:09,1.1848,1.1848,1.1848,1.1891,1.1746,1.18,38199.8
2025-05-18 22:01:09,1.167,1.167,1.167,1.1849,1.1607,1.1849,82709.8
2025-05-18 22:31:09,1.144,1.144,1.144,1.1686,1.1437,1.1674,109735.2
2025-05-18 23:01:09,1.1307,1.1307,1.1307,1.1443,1.1102,1.1437,331195.6
2025-05-18 23:31:09,1.119,1.119,1.119,1.1308,1.1146,1.1308,95669.0
2025-05-19 00:01:09,1.1195,1.1195,1.1195,1.1254,1.1147,1.1187,32112.2
2025-05-19 00:31:09,1.0896,1.0896,1.0896,1.1189,1.0896,1.1189,1122782.8
2025-05-19 01:01:09,1.082,1.082,1.082,1.0892,1.0653,1.0892,265360.8
2025-05-19 01:31:09,1.1012,1.1012,1.1012,1.1012,1.0775,1.0801,62909.8
2025-05-19 02:01:09,1.1197,1.1197,1.1197,1.1197,1.1005,1.1005,52700.0
2025-05-19 02:31:09,1.1107,1.1107,1.1107,1.1244,1.1095,1.1216,91935.8
2025-05-19 03:01:09,1.1192,1.1192,1.1192,1.123,1.1011,1.1115,142833.9
2025-05-19 03:31:09,1.1485,1.1485,1.1485,1.1485,1.1197,1.1197,238544.5
2025-05-19 04:01:09,1.1468,1.1468,1.1468,1.1536,1.1385,1.1477,41829.1
2025-05-19 04:31:09,1.1773,1.1773,1.1773,1.1857,1.1456,1.1459,91653.0
2025-05-19 05:01:09,1.1676,1.1676,1.1676,1.1901,1.1669,1.1773,77704.6
2025-05-19 05:31:09,1.1514,1.1514,1.1514,1.1724,1.1502,1.1674,128237.3
2025-05-19 06:01:09,1.1517,1.1517,1.1517,1.1584,1.1378,1.151,63933.9
2025-05-19 06:31:09,1.141,1.141,1.141,1.1601,1.1406,1.1525,91455.2
2025-05-19 07:01:09,1.1325,1.1325,1.1325,1.1467,1.1237,1.1403,207763.9
2025-05-19 07:31:09,1.1218,1.1218,1.1218,1.14,1.119,1.1313,30436.2
2025-05-19 08:01:09,1.1201,1.1201,1.1201,1.1279,1.1119,1.1218,267123.6
2025-05-19 08:31:09,1.1218,1.1218,1.1218,1.1265,1.1134,1.1218,168396.7
2025-05-19 09:01:09,1.1092,1.1092,1.1092,1.1285,1.1054,1.1224,395807.7
2025-05-19 09:31:09,1.0993,1.0993,1.0993,1.1107,1.0938,1.1096,172787.2
2025-05-19 10:01:09,1.1011,1.1011,1.1011,1.1106,1.0967,1.1004,216906.8
2025-05-19 10:31:09,1.1054,1.1054,1.1054,1.1067,1.096,1.0998,42631.2
2025-05-19 11:01:09,1.1096,1.1096,1.1096,1.1179,1.1018,1.1052,50533.2
2025-05-19 11:31:09,1.0868,1.0868,1.0868,1.1081,1.0853,1.1081,58249.7
2025-05-19 12:01:09,1.1087,1.1087,1.1087,1.1149,1.0868,1.0882,84082.5
2025-05-19 12:31:09,1.1072,1.1072,1.1072,1.1151,1.1065,1.1089,40703.5
2025-05-19 13:01:09,1.1036,1.1036,1.1036,1.1076,1.0959,1.1069,34115.5
2025-05-19 13:31:09,1.0992,1.0992,1.0992,1.1011,1.0932,1.1011,20429.4
2025-05-19 14:01:09,1.0885,1.0885,1.0885,1.1023,1.0863,1.0989,44483.3
2025-05-19 14:31:09,1.0834,1.0834,1.0834,1.0929,1.0766,1.089,303965.1
2025-05-19 15:01:09,1.0852,1.0852,1.0852,1.086,1.0773,1.0845,125795.0
2025-05-19 15:31:09,1.0837,1.0837,1.0837,1.0893,1.0806,1.0845,6151.5
2025-05-19 16:01:09,1.0859,1.0859,1.0859,1.0866,1.0784,1.0833,22974.0
2025-05-19 16:31:09,1.086,1.086,1.086,1.0901,1.0815,1.085,4677.9
2025-05-19 17:01:09,1.0795,1.0795,1.0795,1.0878,1.075,1.0857,53430.0
2025-05-19 17:31:09,1.0731,1.0731,1.0731,1.0793,1.0686,1.0793,107271.1
2025-05-19 18:01:09,1.0832,1.0832,1.0832,1.0851,1.0733,1.074,84207.6
2025-05-19 18:31:09,1.1032,1.1032,1.1032,1.1119,1.0806,1.0842,224118.7
2025-05-19 19:01:09,1.0988,1.0988,1.0988,1.1106,1.0954,1.1027,51249.9
2025-05-19 19:31:09,1.1113,1.1113,1.1113,1.1155,1.0988,1.0993,100426.1
2025-05-19 20:01:09,1.1079,1.1079,1.1079,1.1236,1.1076,1.1118,59911.0
2025-05-19 20:31:09,1.1108,1.1108,1.1108,1.1179,1.1079,1.1082,23946.5
2025-05-19 21:01:09,1.1108,1.1108,1.1108,1.1108,1.0953,1.1094,194035.6
2025-05-19 21:31:09,1.1252,1.1252,1.1252,1.1274,1.1024,1.1125,122216.4
2025-05-19 22:01:09,1.1312,1.1312,1.1312,1.1474,1.1255,1.1255,323635.3
2025-05-19 22:31:09,1.1267,1.1267,1.1267,1.1329,1.1244,1.1329,64022.4
2025-05-19 23:01:09,1.1186,1.1186,1.1186,1.1324,1.1146,1.1271,61724.6
2025-05-19 23:31:09,1.1147,1.1147,1.1147,1.1212,1.1099,1.1156,34411.8
2025-05-20 00:01:09,1.1123,1.1123,1.1123,1.1168,1.1094,1.1154,71144.7
2025-05-20 00:31:09,1.1217,1.1217,1.1217,1.1248,1.113,1.1134,39831.5
2025-05-20 01:01:09,1.126,1.126,1.126,1.1272,1.1178,1.121,94804.1
2025-05-20 01:31:09,1.1225,1.1225,1.1225,1.1249,1.1191,1.1241,15551.7
2025-05-20 02:01:09,1.1109,1.1109,1.1109,1.1224,1.1101,1.122,4561.7
2025-05-20 02:31:09,1.1234,1.1234,1.1234,1.1234,1.1121,1.113,2576.4
2025-05-20 03:01:09,1.1111,1.1111,1.1111,1.1233,1.1107,1.1224,14002.8
2025-05-20 03:31:09,1.1191,1.1191,1.1191,1.1208,1.1102,1.1102,892.8
2025-05-20 04:01:09,1.1178,1.1178,1.1178,1.1256,1.1176,1.1182,4250.4
2025-05-20 04:31:09,1.1278,1.1278,1.1278,1.1338,1.1167,1.1167,32284.5
2025-05-20 05:01:09,1.1275,1.1275,1.1275,1.1479,1.1267,1.1272,79504.1
2025-05-20 05:31:09,1.1197,1.1197,1.1197,1.1332,1.1173,1.1266,456213.8
2025-05-20 06:01:09,1.1346,1.1346,1.1346,1.1355,1.1178,1.1207,26082.8
2025-05-20 06:31:09,1.1488,1.1488,1.1488,1.1553,1.1345,1.1345,53271.1
2025-05-20 07:01:09,1.1531,1.1531,1.1531,1.1615,1.1474,1.1492,187348.6
2025-05-20 07:31:09,1.1423,1.1423,1.1423,1.1553,1.1402,1.1523,292707.5
2025-05-20 08:01:09,1.1375,1.1375,1.1375,1.1459,1.1332,1.1433,137989.6
2025-05-20 08:31:09,1.1304,1.1304,1.1304,1.137,1.1258,1.1365,66204.4
2025-05-20 09:01:09,1.1289,1.1289,1.1289,1.131,1.1237,1.1309,31224.3
2025-05-20 09:31:09,1.1366,1.1366,1.1366,1.1392,1.1284,1.1289,31298.0
2025-05-20 10:01:09,1.1474,1.1474,1.1474,1.1509,1.1341,1.1373,47679.5
2025-05-20 10:31:09,1.1373,1.1373,1.1373,1.1472,1.1367,1.1472,20669.5
2025-05-20 11:01:09,1.1318,1.1318,1.1318,1.1401,1.1298,1.1375,35502.4
2025-05-20 11:31:09,1.1354,1.1354,1.1354,1.1407,1.1294,1.1331,27262.3
2025-05-20 12:01:09,1.1252,1.1252,1.1252,1.137,1.1218,1.1357,93835.5
2025-05-20 12:31:09,1.1168,1.1168,1.1168,1.1273,1.1158,1.1258,111725.8
2025-05-20 13:01:09,1.1083,1.1083,1.1083,1.12,1.1055,1.117,149807.2
2025-05-20 13:31:09,1.1082,1.1082,1.1082,1.1145,1.1051,1.1081,40838.4
2025-05-20 14:01:09,1.1067,1.1067,1.1067,1.1121,1.1031,1.1077,49514.6
2025-05-20 14:31:09,1.1058,1.1058,1.1058,1.1117,1.1046,1.1058,15856.1
2025-05-20 15:01:09,1.0917,1.0917,1.0917,1.1061,1.09,1.1057,50562.6
2025-05-20 15:31:09,1.0931,1.0931,1.0931,1.0931,1.0863,1.0908,13286.2
2025-05-20 16:01:09,1.094,1.094,1.094,1.0946,1.0856,1.0937,37002.4
2025-05-20 16:31:09,1.098,1.098,1.098,1.1043,1.0947,1.0947,55766.9
2025-05-20 17:01:09,1.0885,1.0885,1.0885,1.098,1.0876,1.0978,97031.2
2025-05-20 17:31:09,1.0909,1.0909,1.0909,1.0929,1.0845,1.0905,26576.7
2025-05-20 18:01:09,1.0951,1.0951,1.0951,1.097,1.088,1.0914,29178.3
2025-05-20 18:31:09,1.0917,1.0917,1.0917,1.0984,1.0889,1.095,30255.3
2025-05-20 19:01:09,1.0852,1.0852,1.0852,1.098,1.0852,1.0913,27060.6
2025-05-20 19:31:09,1.0827,1.0827,1.0827,1.0882,1.0783,1.0875,20351.9
2025-05-20 20:01:09,1.0907,1.0907,1.0907,1.0912,1.0809,1.0812,13955.2
2025-05-20 20:31:09,1.0993,1.0993,1.0993,1.1008,1.0906,1.0906,339786.7
2025-05-20 21:01:09,1.0872,1.0872,1.0872,1.1089,1.0869,1.1002,96891.3
2025-05-20 21:31:09,1.0852,1.0852,1.0852,1.0935,1.0843,1.0879,66818.0
2025-05-20 22:01:09,1.0994,1.0994,1.0994,1.1043,1.0849,1.086,161708.6
2025-05-20 22:31:09,1.0915,1.0915,1.0915,1.0996,1.0909,1.0995,542777.5
2025-05-20 23:01:09,1.0805,1.0805,1.0805,1.0946,1.079,1.0912,215924.4
2025-05-20 23:31:09,1.0644,1.0644,1.0644,1.0845,1.0635,1.0798,85607.6
2025-05-21 00:01:09,1.0858,1.0858,1.0858,1.0871,1.0623,1.063,239037.1
2025-05-21 00:31:09,1.0993,1.0993,1.0993,1.102,1.0852,1.0852,43066.4
2025-05-21 01:01:09,1.0999,1.0999,1.0999,1.1049,1.0911,1.0976,26195.4
2025-05-21 01:31:09,1.1194,1.1194,1.1194,1.1225,1.1017,1.1017,67012.5
2025-05-21 02:01:09,1.1133,1.1133,1.1133,1.1284,1.1131,1.1207,63331.3
2025-05-21 02:31:09,1.1194,1.1194,1.1194,1.1244,1.1125,1.1159,7985.8
2025-05-21 03:01:09,1.108,1.108,1.108,1.1228,1.1019,1.1195,12490.1
2025-05-21 03:31:09,1.1123,1.1123,1.1123,1.1132,1.1015,1.1069,14700.7
2025-05-21 04:01:09,1.1198,1.1198,1.1198,1.1248,1.1089,1.1115,20683.1
2025-05-21 04:31:09,1.1154,1.1154,1.1154,1.1202,1.109,1.1201,29106.4
2025-05-21 05:01:09,1.1126,1.1126,1.1126,1.1244,1.1114,1.1156,520964.1
2025-05-21 05:31:09,1.1121,1.1121,1.1121,1.118,1.1087,1.1125,23764.1
2025-05-21 06:01:09,1.114,1.114,1.114,1.1214,1.1103,1.112,29116.5
2025-05-21 06:31:09,1.1052,1.1052,1.1052,1.1182,1.1049,1.1137,95207.5
2025-05-21 07:01:09,1.1024,1.1024,1.1024,1.1059,1.0909,1.1056,13845.5
2025-05-21 07:31:09,1.1054,1.1054,1.1054,1.1114,1.1017,1.1017,98538.7
2025-05-21 08:01:09,1.1184,1.1184,1.1184,1.12,1.1036,1.1062,214036.9
2025-05-21 08:31:09,1.1163,1.1163,1.1163,1.1227,1.1139,1.1192,47962.9
2025-05-21 09:01:09,1.1112,1.1112,1.1112,1.1206,1.1112,1.1164,171437.2
2025-05-21 09:31:09,1.1234,1.1234,1.1234,1.1315,1.1082,1.1108,39195.2
2025-05-21 10:01:09,1.134,1.134,1.134,1.1413,1.1234,1.1234,388673.6
2025-05-21 10:31:09,1.1363,1.1363,1.1363,1.142,1.1329,1.1332,231799.0
2025-05-21 11:01:09,1.1407,1.1407,1.1407,1.1407,1.1276,1.1368,60729.3
2025-05-21 11:31:09,1.1422,1.1422,1.1422,1.1457,1.1371,1.1419,16161.5
2025-05-21 12:01:09,1.1167,1.1167,1.1167,1.1446,1.111,1.1427,744347.1
2025-05-21 12:31:09,1.1137,1.1137,1.1137,1.1176,1.1074,1.1163,258290.3
2025-05-21 13:01:09,1.1113,1.1113,1.1113,1.1196,1.109,1.1136,421663.7
2025-05-21 13:31:09,1.1111,1.1111,1.1111,1.1136,1.109,1.1096,123573.2
2025-05-21 14:01:09,1.109,1.109,1.109,1.1158,1.109,1.1111,417002.1
2025-05-21 14:31:09,1.1067,1.1067,1.1067,1.1094,1.1012,1.109,43140.4
2025-05-21 15:01:09,1.104,1.104,1.104,1.1114,1.1032,1.1067,43170.7
2025-05-21 15:31:09,1.1065,1.1065,1.1065,1.1076,1.1037,1.1037,26075.0
