Date,Price,Adj Close,Close,High,Low,Open,Volume
2023-07-24 17:01:09,2.2341,2.2341,2.2341,2.5876,2.1596,2.5691,190584.6
2023-07-24 21:01:09,2.1399,2.1399,2.1399,2.3338,2.1274,2.225,223284.7
2023-07-25 01:01:09,2.1657,2.1657,2.1657,2.2069,2.0005,2.1541,152053.8
2023-07-25 05:01:09,1.9678,1.9678,1.9678,2.2649,1.9003,2.1575,156819.9
2023-07-25 09:01:09,2.0056,2.0056,2.0056,2.0986,1.9271,1.9534,146239.2
2023-07-25 13:01:09,2.1297,2.1297,2.1297,2.1615,1.9602,2.0038,197252.5
2023-07-25 17:01:09,2.2775,2.2775,2.2775,2.4486,2.0854,2.1316,208754.5
2023-07-25 21:01:09,2.2059,2.2059,2.2059,2.355,2.1727,2.2731,89004.8
2023-07-26 01:01:09,2.26,2.26,2.26,2.3384,2.1949,2.2077,49975.7
2023-07-26 05:01:09,2.4648,2.4648,2.4648,2.4907,2.2469,2.2469,140492.4
2023-07-26 09:01:09,2.3802,2.3802,2.3802,2.5593,2.3462,2.4632,183427.9
2023-07-26 13:01:09,2.3388,2.3388,2.3388,2.4359,2.3136,2.3855,83882.0
2023-07-26 17:01:09,2.3062,2.3062,2.3062,2.352,2.2314,2.3403,70567.3
2023-07-26 21:01:09,2.327,2.327,2.327,2.3537,2.2478,2.2878,74615.8
2023-07-27 01:01:09,2.2503,2.2503,2.2503,2.3838,2.1474,2.3204,59896.6
2023-07-27 05:01:09,2.2629,2.2629,2.2629,2.3138,2.2276,2.2503,104714.9
2023-07-27 09:01:09,2.2131,2.2131,2.2131,2.2749,2.1931,2.2614,88149.8
2023-07-27 13:01:09,2.2458,2.2458,2.2458,2.2624,2.18,2.212,84025.9
2023-07-27 17:01:09,2.1858,2.1858,2.1858,2.2427,2.15,2.2421,100898.0
2023-07-27 21:01:09,2.1135,2.1135,2.1135,2.1859,2.0811,2.1835,75809.4
