Date,Price,Adj Close,Close,High,Low,Open,Volume
2025-08-13 13:30:55,1.0953,1.0953,1.0953,1.0966,1.0931,1.0935,28162.6
2025-08-13 13:35:55,1.0919,1.0919,1.0919,1.0953,1.0912,1.0953,51944.1
2025-08-13 13:40:55,1.0865,1.0865,1.0865,1.0928,1.0865,1.0923,21652.6
2025-08-13 13:45:55,1.0882,1.0882,1.0882,1.0888,1.0854,1.0868,25395.6
2025-08-13 13:50:55,1.0921,1.0921,1.0921,1.0922,1.0879,1.0879,13132.4
2025-08-13 13:55:55,1.0917,1.0917,1.0917,1.0924,1.0889,1.0922,17598.7
2025-08-13 14:00:55,1.0915,1.0915,1.0915,1.0936,1.0909,1.0917,7418.4
2025-08-13 14:05:55,1.0941,1.0941,1.0941,1.0953,1.0891,1.0913,55915.7
2025-08-13 14:10:55,1.0929,1.0929,1.0929,1.0955,1.0929,1.0943,10093.5
2025-08-13 14:15:55,1.0894,1.0894,1.0894,1.093,1.0886,1.0929,41499.3
2025-08-13 14:20:55,1.0915,1.0915,1.0915,1.0928,1.0891,1.0892,16840.2
2025-08-13 14:25:55,1.0864,1.0864,1.0864,1.0907,1.0857,1.0903,8432.6
2025-08-13 14:30:55,1.0833,1.0833,1.0833,1.0877,1.0833,1.0866,5637.3
2025-08-13 14:35:55,1.0886,1.0886,1.0886,1.0901,1.0826,1.0828,4666.6
2025-08-13 14:40:55,1.0879,1.0879,1.0879,1.0898,1.0871,1.0871,7492.5
2025-08-13 14:45:55,1.0891,1.0891,1.0891,1.0904,1.0882,1.0882,3655.9
2025-08-13 14:50:55,1.094,1.094,1.094,1.0941,1.0886,1.0888,4408.9
2025-08-13 14:55:55,1.095,1.095,1.095,1.0961,1.0932,1.0944,4776.6
2025-08-13 15:00:55,1.0911,1.0911,1.0911,1.095,1.0903,1.094,107820.7
2025-08-13 15:05:55,1.0943,1.0943,1.0943,1.0943,1.0909,1.0912,50238.9
2025-08-13 15:10:55,1.0932,1.0932,1.0932,1.0976,1.0932,1.0937,40176.0
2025-08-13 15:15:55,1.0957,1.0957,1.0957,1.0958,1.0924,1.0924,5102.2
2025-08-13 15:20:55,1.0959,1.0959,1.0959,1.0985,1.0959,1.096,41036.1
2025-08-13 15:25:55,1.0989,1.0989,1.0989,1.0994,1.0952,1.096,82425.0
2025-08-13 15:30:55,1.0949,1.0949,1.0949,1.1,1.0945,1.0988,13694.5
2025-08-13 15:35:55,1.0968,1.0968,1.0968,1.0979,1.0944,1.0958,4570.1
2025-08-13 15:40:55,1.0979,1.0979,1.0979,1.099,1.0961,1.0964,106894.8
2025-08-13 15:45:55,1.0948,1.0948,1.0948,1.097,1.093,1.0969,12336.0
2025-08-13 15:50:55,1.0941,1.0941,1.0941,1.0966,1.094,1.094,8474.6
2025-08-13 15:55:55,1.0937,1.0937,1.0937,1.096,1.0936,1.0953,5366.4
2025-08-13 16:00:55,1.0943,1.0943,1.0943,1.0944,1.0916,1.0937,18322.8
2025-08-13 16:05:55,1.0931,1.0931,1.0931,1.0949,1.0928,1.0949,2573.6
2025-08-13 16:10:55,1.0938,1.0938,1.0938,1.0966,1.0928,1.0939,4604.9
2025-08-13 16:15:55,1.0878,1.0878,1.0878,1.094,1.0871,1.0938,223303.0
2025-08-13 16:20:55,1.0897,1.0897,1.0897,1.0897,1.0874,1.0876,21209.3
2025-08-13 16:25:55,1.0871,1.0871,1.0871,1.0909,1.0871,1.0897,2511.8
2025-08-13 16:30:55,1.0918,1.0918,1.0918,1.092,1.0885,1.0888,1365.7
2025-08-13 16:35:55,1.0891,1.0891,1.0891,1.0923,1.0879,1.0921,6915.4
2025-08-13 16:40:55,1.0896,1.0896,1.0896,1.0903,1.0889,1.0903,4139.6
2025-08-13 16:45:55,1.091,1.091,1.091,1.0937,1.0897,1.0897,6695.2
2025-08-13 16:50:55,1.0893,1.0893,1.0893,1.0914,1.0888,1.09,3730.4
2025-08-13 16:55:55,1.0919,1.0919,1.0919,1.092,1.0898,1.0898,2169.8
2025-08-13 17:00:55,1.0955,1.0955,1.0955,1.0972,1.0919,1.0919,9411.9
2025-08-13 17:05:55,1.0913,1.0913,1.0913,1.0958,1.0908,1.095,4259.7
2025-08-13 17:10:55,1.0931,1.0931,1.0931,1.0938,1.0898,1.0904,5421.0
2025-08-13 17:15:55,1.0936,1.0936,1.0936,1.0954,1.0926,1.0928,6162.8
2025-08-13 17:20:55,1.0951,1.0951,1.0951,1.096,1.0925,1.0926,1087.2
2025-08-13 17:25:55,1.0951,1.0951,1.0951,1.0952,1.0934,1.094,2194.5
2025-08-13 17:30:55,1.0937,1.0937,1.0937,1.0966,1.0919,1.0947,11877.5
2025-08-13 17:35:55,1.0915,1.0915,1.0915,1.0929,1.0905,1.0923,8269.1
2025-08-13 17:40:55,1.0931,1.0931,1.0931,1.0937,1.0917,1.0918,2581.6
2025-08-13 17:45:55,1.0859,1.0859,1.0859,1.0926,1.0859,1.0926,193293.6
2025-08-13 17:50:55,1.0845,1.0845,1.0845,1.0874,1.0834,1.0863,11020.0
