Date,Open,High,Low,Close,Volume,Price,Adj Close
2025-08-10 16:24:15,3.1904,3.1958,3.1841,3.1925,205809.0,3.1925,3.1925
2025-08-10 16:39:15,3.1932,3.2031,3.1871,3.1968,1479269.0,3.1968,3.1968
2025-08-10 16:54:15,3.1976,3.203,3.189,3.1898,610258.0,3.1898,3.1898
2025-08-10 17:09:15,3.1919,3.1965,3.1847,3.1856,220269.0,3.1856,3.1856
2025-08-10 17:24:15,3.1876,3.1903,3.1795,3.1842,819928.0,3.1842,3.1842
2025-08-10 17:39:15,3.1842,3.1943,3.1826,3.1908,163534.0,3.1908,3.1908
2025-08-10 17:54:15,3.1902,3.1954,3.1837,3.1888,254276.0,3.1888,3.1888
2025-08-10 18:09:15,3.1882,3.1964,3.1875,3.191,309149.0,3.191,3.191
2025-08-10 18:24:15,3.192,3.194,3.1822,3.189,179844.0,3.189,3.189
2025-08-10 18:39:15,3.1879,3.1887,3.1691,3.1755,778563.0,3.1755,3.1755
2025-08-10 18:54:15,3.1791,3.1811,3.1624,3.1624,572766.0,3.1624,3.1624
2025-08-10 19:09:15,3.1626,3.1771,3.1563,3.1739,649959.0,3.1739,3.1739
2025-08-10 19:24:15,3.1729,3.1892,3.1729,3.1864,349926.0,3.1864,3.1864
2025-08-10 19:39:15,3.187,3.2032,3.1861,3.2003,5088694.0,3.2003,3.2003
2025-08-10 19:54:15,3.2009,3.2048,3.1942,3.2013,1429934.0,3.2013,3.2013
2025-08-10 20:09:15,3.2013,3.2032,3.1949,3.1989,460466.0,3.1989,3.1989
2025-08-10 20:24:15,3.2001,3.2035,3.187,3.1976,264611.0,3.1976,3.1976
2025-08-10 20:39:15,3.1973,3.1973,3.185,3.1917,123604.0,3.1917,3.1917
2025-08-10 20:54:15,3.1916,3.1975,3.1811,3.1864,360214.0,3.1864,3.1864
2025-08-10 21:09:15,3.1855,3.1967,3.1826,3.1904,487974.0,3.1904,3.1904
2025-08-10 21:24:15,3.1911,3.1992,3.1903,3.197,736695.0,3.197,3.197
2025-08-10 21:39:15,3.196,3.2016,3.1945,3.1981,326662.0,3.1981,3.1981
2025-08-10 21:54:15,3.1983,3.2019,3.1938,3.1985,172949.0,3.1985,3.1985
2025-08-10 22:09:15,3.198,3.1992,3.1921,3.1921,205135.0,3.1921,3.1921
2025-08-10 22:24:15,3.1907,3.1925,3.1823,3.1858,140867.0,3.1858,3.1858
2025-08-10 22:39:15,3.1859,3.1964,3.1859,3.1947,113807.0,3.1947,3.1947
2025-08-10 22:54:15,3.1944,3.2012,3.1936,3.1989,619066.0,3.1989,3.1989
2025-08-10 23:09:15,3.198,3.201,3.1965,3.1985,202605.0,3.1985,3.1985
2025-08-10 23:24:15,3.1981,3.1994,3.1952,3.1957,143553.0,3.1957,3.1957
2025-08-10 23:39:15,3.1953,3.2042,3.1946,3.2033,121872.0,3.2033,3.2033
2025-08-10 23:54:15,3.2021,3.2097,3.2011,3.2085,606394.0,3.2085,3.2085
2025-08-11 00:09:15,3.208,3.2154,3.2028,3.2151,1282346.0,3.2151,3.2151
2025-08-11 00:24:15,3.215,3.215,3.2054,3.2059,622727.0,3.2059,3.2059
2025-08-11 00:39:15,3.2051,3.2129,3.2047,3.2092,140455.0,3.2092,3.2092
2025-08-11 00:54:15,3.2085,3.2115,3.2068,3.2077,411505.0,3.2077,3.2077
2025-08-11 01:09:15,3.2077,3.2093,3.1925,3.2031,772523.0,3.2031,3.2031
2025-08-11 01:24:15,3.202,3.2041,3.1763,3.1843,3942822.0,3.1843,3.1843
2025-08-11 01:39:15,3.1846,3.2004,3.1792,3.1979,2723937.0,3.1979,3.1979
2025-08-11 01:54:15,3.1988,3.2004,3.1833,3.1868,2142584.0,3.1868,3.1868
2025-08-11 02:09:15,3.187,3.1874,3.1697,3.1716,1194170.0,3.1716,3.1716
2025-08-11 02:24:15,3.1757,3.1863,3.1625,3.1644,3093820.0,3.1644,3.1644
2025-08-11 02:39:15,3.1649,3.1687,3.1565,3.1685,4282623.0,3.1685,3.1685
2025-08-11 02:54:15,3.1686,3.185,3.1686,3.1816,869046.0,3.1816,3.1816
2025-08-11 03:09:15,3.1837,3.1837,3.1683,3.1763,2572802.0,3.1763,3.1763
2025-08-11 03:24:15,3.1763,3.1936,3.1763,3.1821,1180880.0,3.1821,3.1821
2025-08-11 03:39:15,3.1813,3.1876,3.1789,3.1826,1023320.0,3.1826,3.1826
2025-08-11 03:54:15,3.1835,3.1835,3.171,3.1789,1463131.0,3.1789,3.1789
2025-08-11 04:09:15,3.1794,3.1851,3.176,3.1767,831505.0,3.1767,3.1767
2025-08-11 04:24:15,3.1751,3.1768,3.1642,3.1756,987579.0,3.1756,3.1756
2025-08-11 04:39:15,3.1761,3.1843,3.1735,3.1833,254615.0,3.1833,3.1833
2025-08-11 04:54:15,3.1825,3.1907,3.1823,3.1871,644165.0,3.1871,3.1871
